<'body system', 'issue in', 'biomedical occupation or discipline'>
<'physiologic function', 'result of', 'cell function'>
<'health care related organization', 'isa', 'organization'>
<'congenital abnormality', 'occurs in', 'age group'>
<'disease or syndrome', 'manifestation of', 'experimental model of disease'>
<'hormone', 'complicates', 'anatomical abnormality'>
<'fungus', 'interacts with', 'archaeon'>
<'genetic function', 'result of', 'congenital abnormality'>
<'organization', 'location of', 'research activity'>
<'chemical viewed structurally', 'interacts with', 'organophosphorus compound'>
<'laboratory procedure', 'assesses effect of', 'antibiotic'>
<'mental process', 'issue in', 'occupation or discipline'>
<'steroid', 'ingredient of', 'clinical drug'>
<'lipid', 'interacts with', 'enzyme'>
<'alga', 'location of', 'biologically active substance'>
<'organ or tissue function', 'affects', 'rickettsia or chlamydia'>
<'organism function', 'process of', 'fish'>
<'pathologic function', 'process of', 'human'>
<'research activity', 'associated with', 'cell or molecular dysfunction'>
<'chemical viewed structurally', 'causes', 'disease or syndrome'>
<'pharmacologic substance', 'isa', 'entity'>
<'clinical drug', 'issue in', 'biomedical occupation or discipline'>
<'organism function', 'process of', 'organ or tissue function'>
<'cell function', 'isa', 'physiologic function'>
<'steroid', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'tissue', 'surrounds', 'body substance'>
<'cell or molecular dysfunction', 'isa', 'event'>
<'organism function', 'precedes', 'genetic function'>
<'hazardous or poisonous substance', 'disrupts', 'fully formed anatomical structure'>
<'amphibian', 'exhibits', 'social behavior'>
<'plant', 'location of', 'enzyme'>
<'bacterium', 'interacts with', 'organism'>
<'organism', 'issue in', 'occupation or discipline'>
<'hazardous or poisonous substance', 'complicates', 'anatomical abnormality'>
<'gene or genome', 'issue in', 'occupation or discipline'>
<'invertebrate', 'interacts with', 'vertebrate'>
<'amphibian', 'exhibits', 'behavior'>
<'population group', 'interacts with', 'family group'>
<'laboratory or test result', 'measurement of', 'chemical viewed structurally'>
<'clinical drug', 'causes', 'anatomical abnormality'>
<'vitamin', 'isa', 'chemical viewed functionally'>
<'group', 'isa', 'conceptual entity'>
<'carbohydrate', 'interacts with', 'lipid'>
<'carbohydrate', 'affects', 'physiologic function'>
<'chemical viewed functionally', 'causes', 'cell or molecular dysfunction'>
<'hazardous or poisonous substance', 'affects', 'mental process'>
<'biologic function', 'result of', 'cell or molecular dysfunction'>
<'diagnostic procedure', 'measures', 'chemical viewed structurally'>
<'anatomical structure', 'part of', 'organism'>
<'laboratory procedure', 'measures', 'biologically active substance'>
<'organophosphorus compound', 'isa', 'chemical viewed structurally'>
<'molecular function', 'process of', 'cell function'>
<'biologic function', 'result of', 'natural phenomenon or process'>
<'vitamin', 'affects', 'pathologic function'>
<'natural phenomenon or process', 'process of', 'organism function'>
<'health care activity', 'affects', 'mental or behavioral dysfunction'>
<'anatomical structure', 'part of', 'fungus'>
<'rickettsia or chlamydia', 'interacts with', 'mammal'>
<'population group', 'produces', 'classification'>
<'clinical attribute', 'manifestation of', 'molecular function'>
<'human caused phenomenon or process', 'result of', 'environmental effect of humans'>
<'finding', 'associated with', 'anatomical abnormality'>
<'biologic function', 'process of', 'physiologic function'>
<'organ or tissue function', 'result of', 'human caused phenomenon or process'>
<'cell', 'location of', 'body space or junction'>
<'neoplastic process', 'affects', 'organism'>
<'eicosanoid', 'causes', 'congenital abnormality'>
<'inorganic chemical', 'affects', 'mental process'>
<'alga', 'location of', 'hormone'>
<'mental process', 'result of', 'organism function'>
<'sign or symptom', 'associated with', 'experimental model of disease'>
<'manufactured object', 'causes', 'pathologic function'>
<'hormone', 'affects', 'organ or tissue function'>
<'organic chemical', 'interacts with', 'indicator reagent or diagnostic aid'>
<'indicator reagent or diagnostic aid', 'affects', 'molecular function'>
<'disease or syndrome', 'occurs in', 'injury or poisoning'>
<'qualitative concept', 'isa', 'idea or concept'>
<'neoplastic process', 'affects', 'fungus'>
<'genetic function', 'result of', 'human caused phenomenon or process'>
<'antibiotic', 'complicates', 'organ or tissue function'>
<'self help or relief organization', 'carries out', 'molecular biology research technique'>
<'laboratory or test result', 'associated with', 'experimental model of disease'>
<'cell function', 'process of', 'animal'>
<'experimental model of disease', 'manifestation of', 'mental or behavioral dysfunction'>
<'experimental model of disease', 'result of', 'laboratory procedure'>
<'organism function', 'result of', 'cell or molecular dysfunction'>
<'fully formed anatomical structure', 'part of', 'rickettsia or chlamydia'>
<'mental or behavioral dysfunction', 'result of', 'individual behavior'>
<'immunologic factor', 'complicates', 'physiologic function'>
<'pharmacologic substance', 'diagnoses', 'neoplastic process'>
<'cell', 'part of', 'mammal'>
<'plant', 'location of', 'receptor'>
<'pharmacologic substance', 'prevents', 'neoplastic process'>
<'substance', 'causes', 'mental or behavioral dysfunction'>
<'professional or occupational group', 'uses', 'intellectual product'>
<'diagnostic procedure', 'measures', 'mental or behavioral dysfunction'>
<'qualitative concept', 'evaluation of', 'health care activity'>
<'indicator reagent or diagnostic aid', 'isa', 'physical object'>
<'group', 'produces', 'clinical drug'>
<'acquired abnormality', 'co-occurs with', 'injury or poisoning'>
<'daily or recreational activity', 'associated with', 'injury or poisoning'>
<'sign or symptom', 'diagnoses', 'anatomical abnormality'>
<'tissue', 'location of', 'experimental model of disease'>
<'mental or behavioral dysfunction', 'occurs in', 'patient or disabled group'>
<'vitamin', 'ingredient of', 'clinical drug'>
<'organization', 'carries out', 'governmental or regulatory activity'>
<'hazardous or poisonous substance', 'causes', 'pathologic function'>
<'organism attribute', 'property of', 'human'>
<'carbohydrate', 'isa', 'chemical viewed structurally'>
<'tissue', 'part of', 'bird'>
<'pathologic function', 'process of', 'organism'>
<'biologically active substance', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'cell component', 'location of', 'anatomical abnormality'>
<'body part organ or organ component', 'part of', 'archaeon'>
<'laboratory procedure', 'measures', 'hormone'>
<'cell', 'location of', 'injury or poisoning'>
<'diagnostic procedure', 'measures', 'quantitative concept'>
<'acquired abnormality', 'result of', 'cell function'>
<'hazardous or poisonous substance', 'complicates', 'organism function'>
<'molecular function', 'affects', 'organism function'>
<'individual behavior', 'isa', 'activity'>
<'cell component', 'part of', 'mammal'>
<'pathologic function', 'process of', 'fungus'>
<'drug delivery device', 'treats', 'anatomical abnormality'>
<'cell or molecular dysfunction', 'result of', 'mental or behavioral dysfunction'>
<'pathologic function', 'result of', 'social behavior'>
<'carbohydrate sequence', 'issue in', 'biomedical occupation or discipline'>
<'organism function', 'process of', 'biologic function'>
<'neoplastic process', 'associated with', 'organism attribute'>
<'cell component', 'location of', 'diagnostic procedure'>
<'disease or syndrome', 'process of', 'experimental model of disease'>
<'immunologic factor', 'disrupts', 'molecular function'>
<'neoplastic process', 'affects', 'pathologic function'>
<'family group', 'performs', 'social behavior'>
<'organic chemical', 'interacts with', 'chemical viewed functionally'>
<'clinical attribute', 'property of', 'virus'>
<'organ or tissue function', 'affects', 'bird'>
<'organism function', 'affects', 'animal'>
<'biologic function', 'process of', 'organ or tissue function'>
<'biologically active substance', 'complicates', 'genetic function'>
<'bacterium', 'isa', 'entity'>
<'organism function', 'produces', 'vitamin'>
<'inorganic chemical', 'affects', 'disease or syndrome'>
<'clinical attribute', 'result of', 'experimental model of disease'>
<'cell or molecular dysfunction', 'degree of', 'disease or syndrome'>
<'inorganic chemical', 'causes', 'injury or poisoning'>
<'organization', 'carries out', 'therapeutic or preventive procedure'>
<'disease or syndrome', 'produces', 'neuroreactive substance or biogenic amine'>
<'gene or genome', 'produces', 'nucleic acid nucleoside or nucleotide'>
<'group', 'performs', 'governmental or regulatory activity'>
<'organ or tissue function', 'affects', 'molecular function'>
<'vitamin', 'disrupts', 'molecular function'>
<'social behavior', 'associated with', 'group'>
<'professional or occupational group', 'performs', 'occupational activity'>
<'hormone', 'issue in', 'occupation or discipline'>
<'cell component', 'isa', 'physical object'>
<'gene or genome', 'affects', 'organism function'>
<'laboratory procedure', 'measures', 'steroid'>
<'pathologic function', 'isa', 'biologic function'>
<'receptor', 'complicates', 'congenital abnormality'>
<'mental or behavioral dysfunction', 'manifestation of', 'molecular function'>
<'age group', 'performs', 'individual behavior'>
<'population group', 'performs', 'machine activity'>
<'family group', 'exhibits', 'behavior'>
<'genetic function', 'process of', 'physiologic function'>
<'neoplastic process', 'process of', 'invertebrate'>
<'cell or molecular dysfunction', 'affects', 'human'>
<'disease or syndrome', 'result of', 'health care activity'>
<'disease or syndrome', 'result of', 'congenital abnormality'>
<'population group', 'performs', 'laboratory procedure'>
<'reptile', 'exhibits', 'social behavior'>
<'molecular biology research technique', 'measures', 'body substance'>
<'sign or symptom', 'manifestation of', 'molecular function'>
<'carbohydrate', 'interacts with', 'pharmacologic substance'>
<'intellectual product', 'isa', 'conceptual entity'>
<'hormone', 'affects', 'biologic function'>
<'body part organ or organ component', 'produces', 'neuroreactive substance or biogenic amine'>
<'sign or symptom', 'co-occurs with', 'finding'>
<'medical device', 'treats', 'injury or poisoning'>
<'finding', 'manifestation of', 'physiologic function'>
<'hormone', 'complicates', 'neoplastic process'>
<'tissue', 'part of', 'bacterium'>
<'molecular biology research technique', 'measures', 'experimental model of disease'>
<'mental process', 'co-occurs with', 'physiologic function'>
<'reptile', 'exhibits', 'behavior'>
<'immunologic factor', 'causes', 'acquired abnormality'>
<'organophosphorus compound', 'affects', 'genetic function'>
<'antibiotic', 'complicates', 'biologic function'>
<'body part organ or organ component', 'location of', 'mental or behavioral dysfunction'>
<'laboratory or test result', 'manifestation of', 'molecular function'>
<'neoplastic process', 'process of', 'amphibian'>
<'congenital abnormality', 'result of', 'pathologic function'>
<'hazardous or poisonous substance', 'issue in', 'occupation or discipline'>
<'fully formed anatomical structure', 'location of', 'cell or molecular dysfunction'>
<'body part organ or organ component', 'produces', 'body substance'>
<'research activity', 'measures', 'chemical viewed functionally'>
<'experimental model of disease', 'produces', 'hormone'>
<'medical device', 'prevents', 'cell or molecular dysfunction'>
<'laboratory procedure', 'associated with', 'pathologic function'>
<'environmental effect of humans', 'result of', 'neoplastic process'>
<'group', 'performs', 'therapeutic or preventive procedure'>
<'biomedical or dental material', 'isa', 'entity'>
<'disease or syndrome', 'result of', 'organism function'>
<'receptor', 'causes', 'injury or poisoning'>
<'experimental model of disease', 'affects', 'neoplastic process'>
<'health care related organization', 'carries out', 'laboratory procedure'>
<'disease or syndrome', 'manifestation of', 'physiologic function'>
<'enzyme', 'affects', 'genetic function'>
<'congenital abnormality', 'result of', 'phenomenon or process'>
<'diagnostic procedure', 'analyzes', 'indicator reagent or diagnostic aid'>
<'carbohydrate', 'interacts with', 'eicosanoid'>
<'diagnostic procedure', 'diagnoses', 'injury or poisoning'>
<'congenital abnormality', 'result of', 'therapeutic or preventive procedure'>
<'tissue', 'part of', 'alga'>
<'neoplastic process', 'complicates', 'acquired abnormality'>
<'nucleic acid nucleoside or nucleotide', 'affects', 'natural phenomenon or process'>
<'pathologic function', 'result of', 'molecular function'>
<'fully formed anatomical structure', 'part of', 'bird'>
<'experimental model of disease', 'process of', 'mental or behavioral dysfunction'>
<'laboratory procedure', 'assesses effect of', 'organism function'>
<'amino acid peptide or protein', 'causes', 'pathologic function'>
<'biologic function', 'affects', 'invertebrate'>
<'manufactured object', 'isa', 'physical object'>
<'injury or poisoning', 'occurs in', 'family group'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'physiologic function'>
<'gene or genome', 'location of', 'organ or tissue function'>
<'pharmacologic substance', 'causes', 'acquired abnormality'>
<'cell function', 'precedes', 'genetic function'>
<'acquired abnormality', 'co-occurs with', 'anatomical abnormality'>
<'daily or recreational activity', 'associated with', 'anatomical abnormality'>
<'therapeutic or preventive procedure', 'affects', 'disease or syndrome'>
<'molecular biology research technique', 'issue in', 'biomedical occupation or discipline'>
<'molecular function', 'process of', 'rickettsia or chlamydia'>
<'chemical viewed functionally', 'isa', 'entity'>
<'animal', 'issue in', 'biomedical occupation or discipline'>
<'mental or behavioral dysfunction', 'complicates', 'congenital abnormality'>
<'rickettsia or chlamydia', 'location of', 'neuroreactive substance or biogenic amine'>
<'biologic function', 'affects', 'amphibian'>
<'cell or molecular dysfunction', 'process of', 'neoplastic process'>
<'pharmacologic substance', 'diagnoses', 'disease or syndrome'>
<'pathologic function', 'precedes', 'experimental model of disease'>
<'language', 'isa', 'entity'>
<'pharmacologic substance', 'prevents', 'disease or syndrome'>
<'archaeon', 'isa', 'organism'>
<'therapeutic or preventive procedure', 'associated with', 'anatomical abnormality'>
<'lipid', 'causes', 'injury or poisoning'>
<'quantitative concept', 'measurement of', 'organism function'>
<'pathologic function', 'degree of', 'neoplastic process'>
<'virus', 'location of', 'immunologic factor'>
<'congenital abnormality', 'occurs in', 'group'>
<'natural phenomenon or process', 'process of', 'cell function'>
<'inorganic chemical', 'interacts with', 'vitamin'>
<'laboratory procedure', 'analyzes', 'organophosphorus compound'>
<'disease or syndrome', 'affects', 'vertebrate'>
<'food', 'issue in', 'biomedical occupation or discipline'>
<'hazardous or poisonous substance', 'isa', 'physical object'>
<'hormone', 'complicates', 'mental process'>
<'regulation or law', 'affects', 'self help or relief organization'>
<'biologic function', 'produces', 'vitamin'>
<'acquired abnormality', 'part of', 'rickettsia or chlamydia'>
<'patient or disabled group', 'uses', 'drug delivery device'>
<'food', 'causes', 'acquired abnormality'>
<'anatomical abnormality', 'result of', 'molecular function'>
<'antibiotic', 'interacts with', 'receptor'>
<'mental process', 'result of', 'cell function'>
<'experimental model of disease', 'complicates', 'anatomical abnormality'>
<'pathologic function', 'complicates', 'cell or molecular dysfunction'>
<'gene or genome', 'part of', 'cell'>
<'diagnostic procedure', 'assesses effect of', 'enzyme'>
<'family group', 'produces', 'manufactured object'>
<'pathologic function', 'affects', 'human'>
<'cell or molecular dysfunction', 'manifestation of', 'disease or syndrome'>
<'laboratory or test result', 'indicates', 'organism function'>
<'neoplastic process', 'produces', 'enzyme'>
<'indicator reagent or diagnostic aid', 'causes', 'disease or syndrome'>
<'environmental effect of humans', 'result of', 'mental process'>
<'governmental or regulatory activity', 'associated with', 'experimental model of disease'>
<'body space or junction', 'location of', 'body substance'>
<'experimental model of disease', 'affects', 'mental process'>
<'pathologic function', 'affects', 'genetic function'>
<'neuroreactive substance or biogenic amine', 'complicates', 'mental or behavioral dysfunction'>
<'mammal', 'exhibits', 'behavior'>
<'organism function', 'affects', 'amphibian'>
<'body space or junction', 'location of', 'experimental model of disease'>
<'organ or tissue function', 'co-occurs with', 'physiologic function'>
<'biologically active substance', 'disrupts', 'molecular function'>
<'gene or genome', 'part of', 'archaeon'>
<'pathologic function', 'isa', 'event'>
<'immunologic factor', 'indicates', 'neoplastic process'>
<'fully formed anatomical structure', 'part of', 'bacterium'>
<'enzyme', 'isa', 'entity'>
<'chemical viewed structurally', 'causes', 'mental or behavioral dysfunction'>
<'organism attribute', 'measurement of', 'physiologic function'>
<'social behavior', 'associated with', 'patient or disabled group'>
<'self help or relief organization', 'carries out', 'research activity'>
<'cell function', 'result of', 'natural phenomenon or process'>
<'research activity', 'measures', 'cell or molecular dysfunction'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'organ or tissue function'>
<'tissue', 'location of', 'physiologic function'>
<'biomedical or dental material', 'ingredient of', 'clinical drug'>
<'hazardous or poisonous substance', 'complicates', 'cell function'>
<'molecular function', 'affects', 'cell function'>
<'medical device', 'treats', 'anatomical abnormality'>
<'diagnostic procedure', 'associated with', 'experimental model of disease'>
<'cell function', 'affects', 'human'>
<'biologically active substance', 'complicates', 'injury or poisoning'>
<'natural phenomenon or process', 'affects', 'organism function'>
<'embryonic structure', 'location of', 'neoplastic process'>
<'molecular biology research technique', 'isa', 'occupational activity'>
<'molecular function', 'result of', 'neoplastic process'>
<'mental or behavioral dysfunction', 'process of', 'animal'>
<'eicosanoid', 'affects', 'genetic function'>
<'congenital abnormality', 'affects', 'organism function'>
<'fully formed anatomical structure', 'part of', 'alga'>
<'congenital abnormality', 'part of', 'animal'>
<'mental process', 'produces', 'neuroreactive substance or biogenic amine'>
<'cell or molecular dysfunction', 'associated with', 'organism attribute'>
<'cell or molecular dysfunction', 'process of', 'mental process'>
<'antibiotic', 'disrupts', 'physiologic function'>
<'laboratory procedure', 'assesses effect of', 'indicator reagent or diagnostic aid'>
<'chemical viewed structurally', 'affects', 'experimental model of disease'>
<'hormone', 'disrupts', 'organ or tissue function'>
<'experimental model of disease', 'occurs in', 'family group'>
<'occupational activity', 'associated with', 'injury or poisoning'>
<'embryonic structure', 'isa', 'physical object'>
<'gene or genome', 'location of', 'biologic function'>
<'receptor', 'causes', 'anatomical abnormality'>
<'substance', 'issue in', 'occupation or discipline'>
<'research device', 'causes', 'cell or molecular dysfunction'>
<'virus', 'interacts with', 'archaeon'>
<'research activity', 'measures', 'hazardous or poisonous substance'>
<'neoplastic process', 'process of', 'fish'>
<'hormone', 'complicates', 'disease or syndrome'>
<'health care related organization', 'produces', 'classification'>
<'mental or behavioral dysfunction', 'process of', 'experimental model of disease'>
<'fish', 'interacts with', 'archaeon'>
<'neoplastic process', 'process of', 'organ or tissue function'>
<'diagnostic procedure', 'diagnoses', 'anatomical abnormality'>
<'health care related organization', 'manages', 'patient or disabled group'>
<'organ or tissue function', 'produces', 'vitamin'>
<'therapeutic or preventive procedure', 'prevents', 'mental or behavioral dysfunction'>
<'organic chemical', 'affects', 'cell or molecular dysfunction'>
<'clinical attribute', 'result of', 'physiologic function'>
<'rickettsia or chlamydia', 'issue in', 'occupation or discipline'>
<'steroid', 'interacts with', 'chemical'>
<'environmental effect of humans', 'result of', 'disease or syndrome'>
<'neoplastic process', 'result of', 'laboratory procedure'>
<'organic chemical', 'affects', 'natural phenomenon or process'>
<'genetic function', 'affects', 'animal'>
<'group attribute', 'property of', 'age group'>
<'acquired abnormality', 'result of', 'behavior'>
<'archaeon', 'issue in', 'occupation or discipline'>
<'physiologic function', 'process of', 'organism function'>
<'genetic function', 'produces', 'vitamin'>
<'mental or behavioral dysfunction', 'process of', 'mammal'>
<'molecular function', 'process of', 'bird'>
<'acquired abnormality', 'location of', 'cell or molecular dysfunction'>
<'experimental model of disease', 'result of', 'physiologic function'>
<'mental process', 'degree of', 'organism function'>
<'cell function', 'process of', 'fish'>
<'cell or molecular dysfunction', 'produces', 'receptor'>
<'clinical attribute', 'property of', 'bacterium'>
<'amino acid peptide or protein', 'isa', 'physical object'>
<'disease or syndrome', 'affects', 'natural phenomenon or process'>
<'nucleotide sequence', 'isa', 'idea or concept'>
<'laboratory or test result', 'measurement of', 'organophosphorus compound'>
<'steroid', 'isa', 'lipid'>
<'genetic function', 'affects', 'experimental model of disease'>
<'therapeutic or preventive procedure', 'complicates', 'organism function'>
<'pathologic function', 'manifestation of', 'neoplastic process'>
<'mental or behavioral dysfunction', 'result of', 'health care activity'>
<'mental or behavioral dysfunction', 'result of', 'congenital abnormality'>
<'cell function', 'process of', 'organ or tissue function'>
<'element ion or isotope', 'affects', 'organ or tissue function'>
<'lipid', 'causes', 'anatomical abnormality'>
<'molecular biology research technique', 'measures', 'physiologic function'>
<'body location or region', 'location of', 'organ or tissue function'>
<'idea or concept', 'isa', 'conceptual entity'>
<'diagnostic procedure', 'measures', 'organophosphorus compound'>
<'congenital abnormality', 'issue in', 'biomedical occupation or discipline'>
<'tissue', 'part of', 'fungus'>
<'organism function', 'process of', 'reptile'>
<'acquired abnormality', 'part of', 'bird'>
<'alga', 'interacts with', 'animal'>
<'anatomical abnormality', 'part of', 'rickettsia or chlamydia'>
<'organism attribute', 'degree of', 'clinical attribute'>
<'biologic function', 'affects', 'fish'>
<'body part organ or organ component', 'produces', 'amino acid peptide or protein'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'indicator reagent or diagnostic aid'>
<'vitamin', 'affects', 'neoplastic process'>
<'research activity', 'measures', 'nucleic acid nucleoside or nucleotide'>
<'group', 'issue in', 'occupation or discipline'>
<'organism function', 'produces', 'age group'>
<'embryonic structure', 'location of', 'mental process'>
<'disease or syndrome', 'associated with', 'mental or behavioral dysfunction'>
<'molecular function', 'result of', 'mental process'>
<'congenital abnormality', 'occurs in', 'patient or disabled group'>
<'biologic function', 'affects', 'organ or tissue function'>
<'gene or genome', 'isa', 'anatomical structure'>
<'genetic function', 'affects', 'mammal'>
<'cell or molecular dysfunction', 'process of', 'disease or syndrome'>
<'disease or syndrome', 'co-occurs with', 'congenital abnormality'>
<'antibiotic', 'treats', 'pathologic function'>
<'hazardous or poisonous substance', 'affects', 'mental or behavioral dysfunction'>
<'receptor', 'disrupts', 'cell'>
<'eicosanoid', 'isa', 'entity'>
<'invertebrate', 'causes', 'mental or behavioral dysfunction'>
<'educational activity', 'associated with', 'pathologic function'>
<'mental or behavioral dysfunction', 'affects', 'rickettsia or chlamydia'>
<'clinical attribute', 'property of', 'alga'>
<'cell function', 'affects', 'organism'>
<'anatomical structure', 'part of', 'invertebrate'>
<'biomedical or dental material', 'causes', 'acquired abnormality'>
<'inorganic chemical', 'affects', 'molecular function'>
<'pharmacologic substance', 'affects', 'neoplastic process'>
<'organism attribute', 'property of', 'archaeon'>
<'molecular biology research technique', 'measures', 'immunologic factor'>
<'phenomenon or process', 'result of', 'organism function'>
<'cell', 'location of', 'neoplastic process'>
<'sign or symptom', 'evaluation of', 'experimental model of disease'>
<'cell or molecular dysfunction', 'isa', 'natural phenomenon or process'>
<'physiologic function', 'precedes', 'mental process'>
<'population group', 'associated with', 'experimental model of disease'>
<'organism attribute', 'manifestation of', 'mental process'>
<'cell or molecular dysfunction', 'degree of', 'mental or behavioral dysfunction'>
<'clinical attribute', 'result of', 'organ or tissue function'>
<'group', 'uses', 'intellectual product'>
<'organization', 'location of', 'laboratory procedure'>
<'steroid', 'causes', 'pathologic function'>
<'neoplastic process', 'result of', 'experimental model of disease'>
<'anatomical abnormality', 'manifestation of', 'neoplastic process'>
<'organism function', 'affects', 'fish'>
<'anatomical structure', 'part of', 'amphibian'>
<'mental process', 'affects', 'vertebrate'>
<'laboratory or test result', 'evaluation of', 'experimental model of disease'>
<'group', 'performs', 'activity'>
<'inorganic chemical', 'isa', 'physical object'>
<'biologically active substance', 'interacts with', 'chemical'>
<'organism function', 'affects', 'organ or tissue function'>
<'molecular function', 'process of', 'bacterium'>
<'chemical', 'causes', 'cell or molecular dysfunction'>
<'immunologic factor', 'indicates', 'disease or syndrome'>
<'congenital abnormality', 'part of', 'invertebrate'>
<'biologically active substance', 'complicates', 'anatomical abnormality'>
<'immunologic factor', 'affects', 'mental process'>
<'quantitative concept', 'measurement of', 'cell function'>
<'neoplastic process', 'process of', 'biologic function'>
<'biomedical occupation or discipline', 'isa', 'conceptual entity'>
<'clinical attribute', 'issue in', 'biomedical occupation or discipline'>
<'congenital abnormality', 'manifestation of', 'molecular function'>
<'mental or behavioral dysfunction', 'affects', 'social behavior'>
<'pathologic function', 'manifestation of', 'mental process'>
<'chemical viewed structurally', 'interacts with', 'immunologic factor'>
<'inorganic chemical', 'causes', 'neoplastic process'>
<'molecular function', 'affects', 'virus'>
<'body substance', 'consists of', 'steroid'>
<'mental or behavioral dysfunction', 'result of', 'human caused phenomenon or process'>
<'injury or poisoning', 'disrupts', 'fully formed anatomical structure'>
<'laboratory procedure', 'analyzes', 'body substance'>
<'occupational activity', 'associated with', 'anatomical abnormality'>
<'fungus', 'interacts with', 'rickettsia or chlamydia'>
<'receptor', 'affects', 'molecular function'>
<'geographic area', 'associated with', 'injury or poisoning'>
<'congenital abnormality', 'part of', 'amphibian'>
<'laboratory procedure', 'diagnoses', 'congenital abnormality'>
<'antibiotic', 'causes', 'congenital abnormality'>
<'laboratory or test result', 'indicates', 'cell function'>
<'vitamin', 'affects', 'mental process'>
<'professional or occupational group', 'interacts with', 'population group'>
<'molecular function', 'process of', 'alga'>
<'cell function', 'affects', 'pathologic function'>
<'molecular function', 'result of', 'disease or syndrome'>
<'cell component', 'adjacent to', 'body space or junction'>
<'pharmacologic substance', 'disrupts', 'fully formed anatomical structure'>
<'laboratory procedure', 'measures', 'pathologic function'>
<'organophosphorus compound', 'causes', 'acquired abnormality'>
<'immunologic factor', 'complicates', 'congenital abnormality'>
<'cell function', 'process of', 'biologic function'>
<'element ion or isotope', 'affects', 'biologic function'>
<'body space or junction', 'location of', 'physiologic function'>
<'carbohydrate', 'interacts with', 'inorganic chemical'>
<'body location or region', 'location of', 'biologic function'>
<'medical device', 'treats', 'neoplastic process'>
<'antibiotic', 'interacts with', 'biologically active substance'>
<'drug delivery device', 'causes', 'cell or molecular dysfunction'>
<'pharmacologic substance', 'affects', 'mental process'>
<'molecular biology research technique', 'associated with', 'congenital abnormality'>
<'temporal concept', 'isa', 'conceptual entity'>
<'fully formed anatomical structure', 'part of', 'fungus'>
<'sign or symptom', 'manifestation of', 'pathologic function'>
<'indicator reagent or diagnostic aid', 'interacts with', 'hazardous or poisonous substance'>
<'amino acid peptide or protein', 'interacts with', 'vitamin'>
<'therapeutic or preventive procedure', 'affects', 'molecular function'>
<'cell', 'location of', 'mental process'>
<'enzyme', 'causes', 'acquired abnormality'>
<'biologic function', 'process of', 'reptile'>
<'molecular function', 'isa', 'physiologic function'>
<'anatomical abnormality', 'manifestation of', 'mental process'>
<'pathologic function', 'process of', 'neoplastic process'>
<'machine activity', 'method of', 'therapeutic or preventive procedure'>
<'laboratory or test result', 'manifestation of', 'pathologic function'>
<'gene or genome', 'part of', 'tissue'>
<'mental process', 'result of', 'behavior'>
<'immunologic factor', 'complicates', 'organism function'>
<'anatomical abnormality', 'part of', 'bird'>
<'congenital abnormality', 'affects', 'cell function'>
<'lipid', 'affects', 'molecular function'>
<'biologically active substance', 'affects', 'organ or tissue function'>
<'natural phenomenon or process', 'result of', 'neoplastic process'>
<'pharmacologic substance', 'interacts with', 'vitamin'>
<'vitamin', 'causes', 'pathologic function'>
<'antibiotic', 'isa', 'chemical'>
<'medical device', 'causes', 'cell or molecular dysfunction'>
<'pharmacologic substance', 'diagnoses', 'mental or behavioral dysfunction'>
<'organism function', 'conceptual part of', 'temporal concept'>
<'immunologic factor', 'affects', 'disease or syndrome'>
<'pharmacologic substance', 'prevents', 'mental or behavioral dysfunction'>
<'immunologic factor', 'causes', 'injury or poisoning'>
<'neuroreactive substance or biogenic amine', 'causes', 'congenital abnormality'>
<'clinical attribute', 'result of', 'biologic function'>
<'chemical viewed structurally', 'affects', 'physiologic function'>
<'finding', 'evaluation of', 'cell function'>
<'mental or behavioral dysfunction', 'affects', 'bird'>
<'alga', 'interacts with', 'amphibian'>
<'environmental effect of humans', 'isa', 'event'>
<'pathologic function', 'manifestation of', 'disease or syndrome'>
<'vitamin', 'complicates', 'organism function'>
<'plant', 'interacts with', 'animal'>
<'organ or tissue function', 'result of', 'acquired abnormality'>
<'tissue', 'produces', 'lipid'>
<'cell or molecular dysfunction', 'manifestation of', 'molecular function'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'element ion or isotope'>
<'fish', 'isa', 'animal'>
<'organism function', 'affects', 'biologic function'>
<'mental or behavioral dysfunction', 'process of', 'physiologic function'>
<'neoplastic process', 'affects', 'mental process'>
<'rickettsia or chlamydia', 'isa', 'organism'>
<'disease or syndrome', 'affects', 'experimental model of disease'>
<'mental or behavioral dysfunction', 'affects', 'molecular function'>
<'antibiotic', 'interacts with', 'hormone'>
<'molecular biology research technique', 'method of', 'occupation or discipline'>
<'cell or molecular dysfunction', 'result of', 'laboratory procedure'>
<'mental process', 'affects', 'natural phenomenon or process'>
<'pathologic function', 'result of', 'phenomenon or process'>
<'population group', 'performs', 'individual behavior'>
<'physiologic function', 'process of', 'cell function'>
<'carbohydrate sequence', 'isa', 'idea or concept'>
<'neoplastic process', 'complicates', 'injury or poisoning'>
<'pharmacologic substance', 'complicates', 'organism function'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'pharmacologic substance'>
