mental or behavioral dysfunction, result of, health care activity
neuroreactive substance or biogenic amine, disrupts, physiologic function
regulation or law, affects, patient or disabled group
acquired abnormality, isa, anatomical structure
biomedical or dental material, affects, natural phenomenon or process
chemical viewed functionally, affects, cell function
therapeutic or preventive procedure, affects, genetic function
molecular function, affects, vertebrate
molecular function, result of, experimental model of disease
machine activity, isa, event
pathologic function, result of, phenomenon or process
cell component, part of, fungus
mental or behavioral dysfunction, affects, social behavior
injury or poisoning, result of, individual behavior
self help or relief organization, location of, governmental or regulatory activity
body space or junction, location of, organ or tissue function
anatomical abnormality, result of, genetic function
finding, isa, entity
health care activity, isa, activity
receptor, affects, cell or molecular dysfunction
mental process, precedes, organ or tissue function
antibiotic, affects, cell function
physiologic function, affects, invertebrate
cell function, affects, cell or molecular dysfunction
functional concept, isa, conceptual entity
cell or molecular dysfunction, result of, physiologic function
cell component, location of, organism function
hazardous or poisonous substance, isa, physical object
molecular sequence, isa, idea or concept
enzyme, isa, biologically active substance
body location or region, location of, anatomical abnormality
body part organ or organ component, location of, anatomical abnormality
molecular biology research technique, isa, research activity
biologic function, affects, bird
receptor, affects, disease or syndrome
organ or tissue function, affects, reptile
injury or poisoning, result of, anatomical abnormality
clinical attribute, result of, neoplastic process
mental process, result of, environmental effect of humans
mental or behavioral dysfunction, result of, human caused phenomenon or process
eicosanoid, isa, lipid
body part organ or organ component, isa, anatomical structure
mental process, affects, organism attribute
body system, result of, mental process
vitamin, isa, physical object
cell or molecular dysfunction, affects, animal
tissue, location of, diagnostic procedure
medical device, isa, entity
fish, isa, physical object
bird, isa, vertebrate
genetic function, affects, plant
receptor, affects, neoplastic process
organic chemical, affects, organism function
cell, isa, anatomical structure
body part organ or organ component, location of, neoplastic process
gene or genome, part of, fish
mental process, result of, injury or poisoning
cell function, affects, neoplastic process
clinical attribute, result of, mental or behavioral dysfunction
injury or poisoning, result of, neoplastic process
receptor, affects, mental process
neoplastic process, result of, biologic function
laboratory or test result, result of, diagnostic procedure
cell function, affects, mental process
immunologic factor, isa, physical object
body location or region, location of, tissue
tissue, location of, bacterium
molecular function, affects, cell function
cell, part of, tissue
receptor, affects, mental or behavioral dysfunction
organism function, result of, cell function
physiologic function, result of, phenomenon or process
biologically active substance, affects, pathologic function
bacterium, location of, hormone
cell function, affects, mental or behavioral dysfunction
clinical attribute, result of, genetic function
self help or relief organization, location of, diagnostic procedure
phenomenon or process, isa, event
anatomical abnormality, affects, vertebrate
mental or behavioral dysfunction, affects, individual behavior
steroid, affects, physiologic function
anatomical abnormality, isa, anatomical structure
neuroreactive substance or biogenic amine, isa, physical object
pathologic function, affects, disease or syndrome
anatomical abnormality, affects, mental process
congenital abnormality, part of, mammal
mental process, isa, natural phenomenon or process
biologic function, affects, organ or tissue function
body location or region, isa, idea or concept
organ or tissue function, result of, molecular function
mental or behavioral dysfunction, affects, pathologic function
hormone, disrupts, physiologic function
receptor, affects, genetic function
body part organ or organ component, location of, genetic function
body location or region, location of, genetic function
acquired abnormality, affects, physiologic function
cell function, affects, genetic function
fully formed anatomical structure, location of, organ or tissue function
nucleic acid nucleoside or nucleotide, affects, biologic function
injury or poisoning, result of, genetic function
animal, isa, entity
hazardous or poisonous substance, disrupts, embryonic structure
pathologic function, affects, vertebrate
vitamin, disrupts, cell component
experimental model of disease, affects, bacterium
rickettsia or chlamydia, location of, vitamin
cell component, isa, anatomical structure
pharmacologic substance, affects, organism function
cell component, part of, cell
pathologic function, affects, mental process
congenital abnormality, affects, physiologic function
indicator reagent or diagnostic aid, affects, experimental model of disease
genetic function, result of, organ or tissue function
cell, part of, alga
organism attribute, result of, phenomenon or process
element ion or isotope, isa, chemical viewed structurally
cell or molecular dysfunction, affects, archaeon
mental or behavioral dysfunction, result of, cell function
anatomical abnormality, part of, invertebrate
organism function, affects, genetic function
anatomical abnormality, result of, natural phenomenon or process
organ or tissue function, result of, environmental effect of humans
congenital abnormality, part of, bird
neuroreactive substance or biogenic amine, affects, molecular function
genetic function, affects, clinical attribute
mental process, affects, fish
amino acid peptide or protein, isa, chemical viewed structurally
phenomenon or process, result of, organ or tissue function
eicosanoid, affects, cell or molecular dysfunction
genetic function, affects, molecular function
molecular function, affects, reptile
enzyme, affects, neoplastic process
embryonic structure, location of, experimental model of disease
body space or junction, isa, spatial concept
cell or molecular dysfunction, affects, organism function
acquired abnormality, result of, individual behavior
molecular function, isa, phenomenon or process
organ or tissue function, affects, animal
organism function, affects, alga
lipid, affects, physiologic function
biomedical or dental material, affects, molecular function
environmental effect of humans, result of, pathologic function
organ or tissue function, result of, injury or poisoning
eicosanoid, affects, disease or syndrome
disease or syndrome, result of, experimental model of disease
body space or junction, location of, cell or molecular dysfunction
food, isa, substance
organophosphorus compound, isa, entity
immunologic factor, affects, genetic function
acquired abnormality, result of, pathologic function
antibiotic, disrupts, organ or tissue function
environmental effect of humans, result of, anatomical abnormality
organ or tissue function, affects, organism
enzyme, affects, mental or behavioral dysfunction
gene or genome, part of, body part organ or organ component
receptor, isa, chemical viewed functionally
pharmacologic substance, disrupts, mental process
educational activity, isa, activity
chemical viewed structurally, affects, molecular function
amino acid sequence, isa, entity
body space or junction, location of, disease or syndrome
neoplastic process, precedes, mental or behavioral dysfunction
genetic function, affects, invertebrate
spatial concept, result of, mental process
fungus, location of, enzyme
organism, isa, physical object
cell or molecular dysfunction, result of, individual behavior
acquired abnormality, part of, reptile
gene or genome, isa, fully formed anatomical structure
fully formed anatomical structure, part of, plant
hazardous or poisonous substance, affects, pathologic function
eicosanoid, affects, mental process
sign or symptom, isa, entity
enzyme, affects, genetic function
anatomical abnormality, result of, congenital abnormality
cell or molecular dysfunction, result of, pathologic function
body space or junction, location of, neoplastic process
vitamin, isa, chemical viewed functionally
cell, isa, entity
clinical attribute, result of, natural phenomenon or process
mental or behavioral dysfunction, affects, alga
body space or junction, location of, mental process
organ or tissue function, affects, clinical attribute
acquired abnormality, result of, human caused phenomenon or process
tissue, location of, experimental model of disease
neoplastic process, affects, mammal
body space or junction, location of, mental or behavioral dysfunction
health care activity, isa, event
genetic function, isa, biologic function
cell function, affects, natural phenomenon or process
biologically active substance, affects, cell function
cell component, affects, organism function
classification, isa, entity
regulation or law, isa, intellectual product
injury or poisoning, result of, natural phenomenon or process
gene or genome, part of, human
neuroreactive substance or biogenic amine, disrupts, tissue
anatomical abnormality, isa, entity
molecular function, result of, physiologic function
physiologic function, precedes, organ or tissue function
carbohydrate, affects, molecular function
immunologic factor, disrupts, body part organ or organ component
body space or junction, location of, genetic function
biologically active substance, disrupts, body part organ or organ component
biologic function, affects, cell or molecular dysfunction
mental or behavioral dysfunction, affects, cell function
pathologic function, affects, reptile
indicator reagent or diagnostic aid, isa, entity
cell or molecular dysfunction, result of, human caused phenomenon or process
organism function, result of, acquired abnormality
organism function, affects, natural phenomenon or process
molecular function, isa, event
fully formed anatomical structure, location of, cell or molecular dysfunction
embryonic structure, location of, biologic function
molecular function, affects, animal
neoplastic process, affects, bird
element ion or isotope, affects, experimental model of disease
biologic function, affects, disease or syndrome
fish, isa, vertebrate
vitamin, disrupts, fully formed anatomical structure
organism attribute, isa, conceptual entity
mental process, affects, mammal
organism function, isa, phenomenon or process
disease or syndrome, result of, biologic function
neoplastic process, result of, social behavior
fully formed anatomical structure, location of, disease or syndrome
acquired abnormality, isa, physical object
genetic function, result of, cell or molecular dysfunction
vitamin, disrupts, organism function
temporal concept, isa, entity
chemical, affects, experimental model of disease
experimental model of disease, affects, amphibian
organophosphorus compound, isa, physical object
anatomical abnormality, result of, molecular function
body part organ or organ component, location of, congenital abnormality
cell function, affects, plant
body location or region, location of, congenital abnormality
immunologic factor, affects, natural phenomenon or process
biologic function, affects, vertebrate
experimental model of disease, isa, phenomenon or process
phenomenon or process, result of, cell or molecular dysfunction
organization, isa, entity
injury or poisoning, result of, congenital abnormality
genetic function, result of, disease or syndrome
plant, location of, neuroreactive substance or biogenic amine
biologic function, affects, mental process
health care activity, affects, molecular function
chemical viewed functionally, affects, organism function
physiologic function, affects, experimental model of disease
cell component, part of, reptile
bird, isa, animal
immunologic factor, disrupts, physiologic function
disease or syndrome, isa, phenomenon or process
environmental effect of humans, result of, cell function
fully formed anatomical structure, location of, mental process
phenomenon or process, result of, disease or syndrome
body part organ or organ component, isa, physical object
mental or behavioral dysfunction, result of, acquired abnormality
gene or genome, part of, virus
acquired abnormality, part of, animal
mental process, affects, bird
antibiotic, affects, organism function
anatomical abnormality, affects, plant
experimental model of disease, precedes, pathologic function
acquired abnormality, result of, cell function
genetic function, result of, neoplastic process
genetic function, affects, bacterium
enzyme, affects, natural phenomenon or process
bird, isa, organism
tissue, part of, plant
fully formed anatomical structure, location of, mental or behavioral dysfunction
fully formed anatomical structure, part of, invertebrate
professional society, location of, occupational activity
mental process, result of, experimental model of disease
cell, isa, physical object
genetic function, result of, mental process
mental or behavioral dysfunction, isa, phenomenon or process
human caused phenomenon or process, result of, anatomical abnormality
organophosphorus compound, affects, neoplastic process
neuroreactive substance or biogenic amine, disrupts, cell function
gene or genome, part of, fungus
body space or junction, isa, entity
genetic function, precedes, physiologic function
enzyme, disrupts, physiologic function
neoplastic process, affects, organ or tissue function
lipid, affects, pathologic function
eicosanoid, isa, entity
hormone, disrupts, tissue
natural phenomenon or process, result of, organ or tissue function
tissue, location of, biologic function
genetic function, result of, mental or behavioral dysfunction
hazardous or poisonous substance, affects, cell function
phenomenon or process, result of, mental process
element ion or isotope, isa, substance
daily or recreational activity, isa, activity
body part organ or organ component, location of, acquired abnormality
body location or region, location of, acquired abnormality
genetic function, isa, physiologic function
qualitative concept, isa, conceptual entity
hormone, affects, biologic function
cell or molecular dysfunction, result of, cell function
experimental model of disease, result of, laboratory procedure
