pharmacologic substance, complicates, anatomical abnormality
mental or behavioral dysfunction, degree of, experimental model of disease
molecular function, produces, biologically active substance
element ion or isotope, interacts with, biologically active substance
organophosphorus compound, isa, chemical
experimental model of disease, result of, anatomical abnormality
diagnostic procedure, analyzes, pharmacologic substance
nucleic acid nucleoside or nucleotide, affects, biologic function
element ion or isotope, ingredient of, clinical drug
cell component, part of, fish
research activity, associated with, injury or poisoning
mental or behavioral dysfunction, process of, fish
experimental model of disease, complicates, cell or molecular dysfunction
experimental model of disease, affects, physiologic function
disease or syndrome, occurs in, neoplastic process
pathologic function, complicates, experimental model of disease
eicosanoid, affects, neoplastic process
fully formed anatomical structure, part of, reptile
alga, interacts with, organism
anatomical structure, location of, bacterium
pathologic function, result of, health care activity
neoplastic process, affects, alga
biologically active substance, interacts with, hormone
food, affects, experimental model of disease
inorganic chemical, affects, neoplastic process
pathologic function, complicates, anatomical abnormality
pathologic function, manifestation of, injury or poisoning
indicator reagent or diagnostic aid, affects, mental or behavioral dysfunction
biologic function, affects, archaeon
inorganic chemical, issue in, biomedical occupation or discipline
neoplastic process, result of, cell or molecular dysfunction
acquired abnormality, result of, experimental model of disease
research activity, measures, hormone
eicosanoid, interacts with, inorganic chemical
laboratory or test result, measurement of, steroid
acquired abnormality, affects, fish
pharmacologic substance, affects, neoplastic process
immunologic factor, complicates, mental or behavioral dysfunction
research activity, associated with, neoplastic process
element ion or isotope, interacts with, enzyme
experimental model of disease, process of, fish
pathologic function, affects, bird
neoplastic process, affects, genetic function
amphibian, interacts with, fish
cell or molecular dysfunction, manifestation of, mental or behavioral dysfunction
self help or relief organization, carries out, laboratory procedure
vitamin, complicates, biologic function
sign or symptom, manifestation of, mental or behavioral dysfunction
food, affects, mental process
biologic function, affects, fungus
pharmacologic substance, complicates, disease or syndrome
steroid, affects, organ or tissue function
tissue, location of, genetic function
immunologic factor, causes, mental or behavioral dysfunction
mental or behavioral dysfunction, affects, bird
fully formed anatomical structure, location of, genetic function
element ion or isotope, causes, acquired abnormality
molecular function, result of, neoplastic process
hormone, affects, neoplastic process
embryonic structure, part of, mammal
alga, isa, organism
laboratory or test result, evaluation of, pathologic function
immunologic factor, indicates, mental or behavioral dysfunction
natural phenomenon or process, affects, experimental model of disease
molecular function, affects, biologic function
pharmacologic substance, causes, disease or syndrome
mental or behavioral dysfunction, result of, genetic function
biologic function, process of, experimental model of disease
organism function, result of, experimental model of disease
element ion or isotope, isa, physical object
educational activity, associated with, mental or behavioral dysfunction
cell or molecular dysfunction, process of, pathologic function
immunologic factor, isa, chemical
pathologic function, isa, event
pathologic function, process of, disease or syndrome
biomedical or dental material, causes, mental or behavioral dysfunction
disease or syndrome, affects, pathologic function
diagnostic procedure, measures, biologically active substance
experimental model of disease, affects, bird
biologically active substance, affects, cell function
tissue, location of, mental or behavioral dysfunction
anatomical structure, location of, rickettsia or chlamydia
fully formed anatomical structure, location of, mental or behavioral dysfunction
disease or syndrome, precedes, mental or behavioral dysfunction
genetic function, affects, experimental model of disease
pharmacologic substance, interacts with, biologically active substance
individual behavior, associated with, mental or behavioral dysfunction
neoplastic process, result of, organism function
molecular biology research technique, measures, element ion or isotope
neoplastic process, associated with, organism attribute
chemical viewed structurally, affects, molecular function
mental or behavioral dysfunction, process of, disease or syndrome
injury or poisoning, result of, mental or behavioral dysfunction
biologic function, process of, mental process
chemical viewed structurally, affects, biologic function
diagnostic procedure, analyzes, element ion or isotope
self help or relief organization, carries out, therapeutic or preventive procedure
research activity, measures, antibiotic
natural phenomenon or process, process of, experimental model of disease
neoplastic process, precedes, disease or syndrome
research device, causes, experimental model of disease
biologic function, produces, receptor
biologic function, affects, natural phenomenon or process
laboratory procedure, assesses effect of, pharmacologic substance
geographic area, associated with, experimental model of disease
embryonic structure, developmental form of, tissue
organism attribute, property of, organism
organism function, isa, biologic function
fish, issue in, occupation or discipline
organism function, process of, fish
drug delivery device, prevents, mental or behavioral dysfunction
molecular function, process of, organism
cell or molecular dysfunction, affects, experimental model of disease
neoplastic process, result of, individual behavior
inorganic chemical, isa, entity
carbohydrate, causes, congenital abnormality
experimental model of disease, process of, disease or syndrome
disease or syndrome, process of, pathologic function
amphibian, isa, physical object
anatomical structure, part of, mammal
therapeutic or preventive procedure, associated with, neoplastic process
pharmacologic substance, interacts with, enzyme
carbohydrate, interacts with, biologically active substance
physiologic function, isa, biologic function
anatomical abnormality, result of, biologic function
carbohydrate, ingredient of, clinical drug
neuroreactive substance or biogenic amine, affects, pathologic function
therapeutic or preventive procedure, prevents, mental or behavioral dysfunction
amino acid peptide or protein, affects, biologic function
self help or relief organization, carries out, governmental or regulatory activity
hormone, isa, biologically active substance
pathologic function, issue in, biomedical occupation or discipline
medical device, prevents, mental or behavioral dysfunction
tissue, part of, vertebrate
pharmacologic substance, prevents, disease or syndrome
neoplastic process, result of, physiologic function
drug delivery device, causes, mental or behavioral dysfunction
organophosphorus compound, affects, pathologic function
bird, isa, organism
inorganic chemical, interacts with, neuroreactive substance or biogenic amine
pharmacologic substance, complicates, neoplastic process
neoplastic process, affects, animal
biologic function, affects, cell function
clinical attribute, property of, organism
governmental or regulatory activity, associated with, experimental model of disease
pharmacologic substance, treats, cell or molecular dysfunction
pharmacologic substance, causes, neoplastic process
genetic function, result of, pathologic function
biomedical or dental material, affects, neoplastic process
carbohydrate, causes, acquired abnormality
tissue, isa, entity
biologically active substance, affects, cell or molecular dysfunction
hormone, complicates, neoplastic process
laboratory procedure, measures, chemical viewed structurally
pathologic function, process of, neoplastic process
experimental model of disease, issue in, biomedical occupation or discipline
chemical viewed structurally, affects, organ or tissue function
pathologic function, produces, hormone
pathologic function, result of, environmental effect of humans
health care related organization, location of, research activity
hormone, causes, neoplastic process
pathologic function, affects, amphibian
disease or syndrome, result of, biologic function
neoplastic process, process of, plant
mental or behavioral dysfunction, process of, neoplastic process
laboratory procedure, affects, biologic function
mental or behavioral dysfunction, affects, amphibian
neoplastic process, isa, phenomenon or process
organ or tissue function, produces, biologically active substance
pathologic function, result of, congenital abnormality
neoplastic process, process of, human
fully formed anatomical structure, produces, lipid
disease or syndrome, degree of, mental or behavioral dysfunction
experimental model of disease, process of, neoplastic process
immunologic factor, affects, pathologic function
occupational activity, associated with, experimental model of disease
embryonic structure, location of, cell or molecular dysfunction
food, issue in, occupation or discipline
experimental model of disease, result of, environmental effect of humans
neoplastic process, manifestation of, molecular function
experimental model of disease, affects, amphibian
carbohydrate, interacts with, eicosanoid
carbohydrate, isa, organic chemical
embryonic structure, part of, bacterium
neoplastic process, isa, disease or syndrome
biologically active substance, affects, organism function
nucleic acid nucleoside or nucleotide, interacts with, carbohydrate
mental or behavioral dysfunction, produces, tissue
immunologic factor, isa, biologically active substance
self help or relief organization, location of, molecular biology research technique
inorganic chemical, interacts with, indicator reagent or diagnostic aid
professional or occupational group, diagnoses, mental or behavioral dysfunction
virus, causes, mental or behavioral dysfunction
sign or symptom, diagnoses, experimental model of disease
cell, part of, tissue
experimental model of disease, result of, congenital abnormality
pharmacologic substance, prevents, mental or behavioral dysfunction
tissue, produces, organophosphorus compound
indicator reagent or diagnostic aid, affects, neoplastic process
organism attribute, result of, neoplastic process
tissue, part of, rickettsia or chlamydia
pathologic function, process of, natural phenomenon or process
enzyme, complicates, biologic function
congenital abnormality, result of, mental or behavioral dysfunction
immunologic factor, complicates, neoplastic process
hazardous or poisonous substance, complicates, mental or behavioral dysfunction
organ or tissue function, result of, neoplastic process
cell or molecular dysfunction, manifestation of, neoplastic process
experimental model of disease, result of, human caused phenomenon or process
pathologic function, complicates, congenital abnormality
mental or behavioral dysfunction, complicates, disease or syndrome
steroid, interacts with, receptor
organic chemical, affects, experimental model of disease
sign or symptom, manifestation of, neoplastic process
organ or tissue function, affects, biologic function
hormone, disrupts, fully formed anatomical structure
hazardous or poisonous substance, causes, mental or behavioral dysfunction
receptor, isa, chemical
organism function, process of, neoplastic process
research activity, measures, lipid
immunologic factor, indicates, neoplastic process
organic chemical, isa, chemical viewed structurally
body part organ or organ component, part of, fish
bacterium, causes, experimental model of disease
research activity, measures, pathologic function
anatomical structure, part of, bacterium
embryonic structure, part of, rickettsia or chlamydia
neoplastic process, process of, reptile
educational activity, associated with, neoplastic process
biologically active substance, isa, entity
biologically active substance, affects, physiologic function
element ion or isotope, affects, mental or behavioral dysfunction
neoplastic process, affects, archaeon
gene or genome, isa, physical object
rickettsia or chlamydia, causes, experimental model of disease
hazardous or poisonous substance, isa, chemical
steroid, causes, cell or molecular dysfunction
laboratory procedure, assesses effect of, inorganic chemical
carbohydrate, interacts with, vitamin
laboratory procedure, measures, element ion or isotope
fully formed anatomical structure, part of, amphibian
experimental model of disease, result of, acquired abnormality
biologic function, affects, organism function
injury or poisoning, result of, neoplastic process
carbohydrate, affects, pathologic function
health care activity, affects, biologic function
neoplastic process, affects, fungus
genetic function, process of, organism
pathologic function, result of, molecular function
pathologic function, complicates, acquired abnormality
chemical viewed structurally, isa, entity
diagnostic procedure, measures, chemical viewed structurally
embryonic structure, part of, alga
pathologic function, result of, therapeutic or preventive procedure
pathologic function, result of, biologic function
tissue, location of, fungus
therapeutic or preventive procedure, uses, pharmacologic substance
embryonic structure, developmental form of, body part organ or organ component
fully formed anatomical structure, location of, fungus
neoplastic process, occurs in, professional or occupational group
element ion or isotope, causes, pathologic function
pathologic function, manifestation of, cell or molecular dysfunction
neoplastic process, process of, experimental model of disease
element ion or isotope, interacts with, pharmacologic substance
eicosanoid, affects, experimental model of disease
enzyme, affects, experimental model of disease
cell function, isa, biologic function
cell function, process of, fish
neuroreactive substance or biogenic amine, isa, physical object
cell, isa, physical object
inorganic chemical, affects, experimental model of disease
mental or behavioral dysfunction, associated with, pathologic function
mental or behavioral dysfunction, manifestation of, cell or molecular dysfunction
animal, isa, physical object
pathologic function, isa, biologic function
disease or syndrome, conceptually related to, experimental model of disease
steroid, interacts with, element ion or isotope
research activity, measures, genetic function
therapeutic or preventive procedure, prevents, neoplastic process
amino acid peptide or protein, affects, pathologic function
research activity, associated with, experimental model of disease
experimental model of disease, result of, molecular function
cell component, part of, organism
neoplastic process, process of, mental process
vitamin, isa, physical object
inorganic chemical, isa, chemical viewed structurally
experimental model of disease, result of, biologic function
research activity, associated with, anatomical abnormality
cell or molecular dysfunction, co-occurs with, pathologic function
body part organ or organ component, isa, fully formed anatomical structure
mental or behavioral dysfunction, complicates, neoplastic process
hazardous or poisonous substance, affects, neoplastic process
medical device, prevents, neoplastic process
organism, issue in, occupation or discipline
neoplastic process, produces, receptor
experimental model of disease, associated with, pathologic function
experimental model of disease, manifestation of, cell or molecular dysfunction
drug delivery device, causes, neoplastic process
acquired abnormality, location of, mental or behavioral dysfunction
self help or relief organization, isa, organization
molecular function, result of, experimental model of disease
embryonic structure, part of, invertebrate
hormone, affects, experimental model of disease
biologic function, affects, physiologic function
pathologic function, process of, human
chemical viewed functionally, causes, pathologic function
molecular function, affects, fish
pathologic function, affects, vertebrate
neoplastic process, associated with, cell or molecular dysfunction
therapeutic or preventive procedure, complicates, neoplastic process
mental or behavioral dysfunction, isa, phenomenon or process
food, affects, molecular function
carbohydrate, affects, genetic function
chemical, affects, mental or behavioral dysfunction
anatomical structure, part of, alga
mental or behavioral dysfunction, process of, human
food, affects, biologic function
mental or behavioral dysfunction, affects, vertebrate
experimental model of disease, process of, plant
nucleic acid nucleoside or nucleotide, interacts with, chemical
mental or behavioral dysfunction, result of, natural phenomenon or process
acquired abnormality, result of, biologic function
finding, evaluation of, mental or behavioral dysfunction
self help or relief organization, location of, health care activity
cell, part of, organism
chemical viewed structurally, interacts with, receptor
finding, manifestation of, mental or behavioral dysfunction
mental or behavioral dysfunction, isa, disease or syndrome
congenital abnormality, manifestation of, mental or behavioral dysfunction
mammal, isa, physical object
research activity, method of, biomedical occupation or discipline
disease or syndrome, result of, pathologic function
nucleic acid nucleoside or nucleotide, causes, mental or behavioral dysfunction
medical device, causes, neoplastic process
laboratory procedure, affects, pathologic function
diagnostic procedure, associated with, pathologic function
biologic function, produces, hormone
experimental model of disease, process of, human
experimental model of disease, affects, vertebrate
element ion or isotope, affects, disease or syndrome
tissue, location of, diagnostic procedure
bird, interacts with, fish
pathologic function, result of, organ or tissue function
biologic function, process of, mammal
congenital abnormality, part of, organism
biologic function, process of, molecular function
fish, isa, vertebrate
natural phenomenon or process, affects, biologic function
experimental model of disease, manifestation of, organism function
neoplastic process, result of, laboratory procedure
vertebrate, isa, physical object
neoplastic process, affects, cell function
organism function, result of, biologic function
anatomical structure, part of, invertebrate
tissue, issue in, biomedical occupation or discipline
therapeutic or preventive procedure, associated with, experimental model of disease
health care activity, associated with, mental or behavioral dysfunction
tissue, part of, animal
cell, produces, carbohydrate
biologic function, affects, bird
tissue, location of, cell function
mental or behavioral dysfunction, produces, vitamin
fully formed anatomical structure, location of, cell function
biologically active substance, interacts with, chemical
genetic function, affects, biologic function
biologic function, result of, genetic function
biologically active substance, complicates, mental or behavioral dysfunction
carbohydrate, causes, pathologic function
neoplastic process, manifestation of, pathologic function
mental or behavioral dysfunction, result of, cell function
pathologic function, process of, reptile
acquired abnormality, manifestation of, mental or behavioral dysfunction
virus, causes, neoplastic process
biologically active substance, causes, mental or behavioral dysfunction
natural phenomenon or process, process of, biologic function
embryonic structure, part of, animal
pharmacologic substance, prevents, neoplastic process
pharmacologic substance, complicates, experimental model of disease
biologic function, result of, mental or behavioral dysfunction
cell or molecular dysfunction, affects, biologic function
acquired abnormality, part of, organism
